NO.1,NO.2,NO.3,NDX
212.774,229.584,222.706,229.584
214.604,231.559,225.045,231.559
207.759,224.173,218.461,224.173
200.398,216.229,210.856,216.229
202.492,218.489,213.219,218.489
189.587,204.565,199.365,204.565
172.687,186.33,180.534,186.33
153.018,165.107,159.244,165.107
142.046,153.268,147.215,153.268
135.463,146.164,139.992,146.164
132.213,142.658,136.517,142.658
128.252,138.384,132.509,138.384
130.94,141.285,135.369,141.285
139.136,150.129,144.175,150.129
153.782,165.932,160.352,165.932
165.43,178.499,171.791,178.499
169.466,182.854,175.615,182.854
181.496,195.835,187.864,195.835
187.366,202.168,194.123,202.168
195.546,210.994,202.876,210.994
199.177,214.912,207.12,214.912
206.06,222.34,214.293,222.34
211.549,228.261,220.375,228.261
216.534,233.641,225.995,233.641
217.861,235.072,227.99,235.072
218.568,235.835,229.278,235.835
211.162,227.845,222.046,227.845
200.491,216.33,211.122,216.33
200.703,216.559,211.435,216.559
187.865,202.707,197.444,202.707
170.18,183.624,177.874,183.624
152.066,164.08,158.201,164.08
142.296,153.537,147.436,153.537
136.264,147.029,140.849,147.029
133.263,143.792,137.563,143.792
129.807,140.061,134.056,140.061
132.638,143.117,137.078,143.117
139.115,150.105,144.123,150.105
152.543,164.595,159.122,164.595
162.511,175.349,169.056,175.349
170.474,183.941,177.076,183.941
177.456,191.476,184.336,191.476
188.23,203.1,195.769,203.1
195.24,210.664,203.46,210.664
207.606,224.007,216.717,224.007
216.934,234.073,226.714,234.073
224.363,242.088,234.994,242.088
223.155,240.784,234.328,240.784
227.104,245.046,238.619,245.046
226.375,244.26,238.254,244.26
220.699,238.135,232.523,238.135
213.395,230.254,224.563,230.254
209.137,225.659,220.326,225.659
198.462,214.141,208.63,214.141
182.107,196.494,190.798,196.494
161.541,174.304,168.81,174.304
148.562,160.299,154.804,160.299
140.549,151.653,146.079,151.653
136.584,147.375,141.665,147.375
131.542,141.935,136.334,141.935
127.617,137.698,132.214,137.698
129.457,139.684,134.16,139.684
131.473,141.86,136.505,141.86
139.917,150.971,145.864,150.971
159.796,172.42,166.968,172.42
178,192.062,186.379,192.062
193.038,208.288,202.376,208.288
207.62,224.023,218.02,224.023
217.911,235.126,229.372,235.126
222.43,240.002,234.72,240.002
228.031,246.046,240.973,246.046
229.298,247.412,242.712,247.412
228.941,247.027,242.678,247.027
228.929,247.015,242.6,247.015
219.856,237.226,233.178,237.226
211.963,228.708,224.604,228.708
208.587,225.065,220.889,225.065
197.247,212.83,208.65,212.83
182.068,196.451,191.932,196.451
161.859,174.647,170.231,174.647
149.03,160.803,156.067,160.803
141.403,152.574,147.642,152.574
133.857,144.431,139.579,144.431
129.65,139.892,134.945,139.892
127.046,137.082,132.109,137.082
126.273,136.249,131.255,136.249
129.243,139.453,134.385,139.453
137.363,148.216,143.416,148.216
157.648,170.103,165.254,170.103
177.473,191.493,186.781,191.493
190.249,205.279,200.463,205.279
202.647,218.657,213.702,218.657
213.239,230.085,224.93,230.085
216.223,233.306,228.42,233.306
220.33,237.736,233.122,237.736
223.183,240.814,236.236,240.814
223.962,241.655,236.949,241.655
225.138,242.925,238.236,242.925
217.47,234.651,230.377,234.651
214.094,231.007,227.027,231.007
216.333,233.424,229.313,233.424
200.605,216.454,211.983,216.454
182.599,197.024,191.96,197.024
165.096,178.138,172.76,178.138
154.139,166.316,160.837,166.316
149.008,160.779,155.161,160.779
145.026,156.484,150.854,156.484
144.936,156.387,150.556,156.387
146.804,158.402,152.599,158.402
154.658,166.877,161.15,166.877
173.853,187.587,181.877,187.587
186.058,200.756,193.846,200.756
183.677,198.187,191.044,198.187
189.253,204.204,197.339,204.204
200.799,216.663,209.553,216.663
211.506,228.215,220.975,228.215
222.784,240.384,232.352,240.384
235.068,253.639,244.849,253.639
235.338,253.93,245.327,253.93
228.401,246.446,238.316,246.446
227.561,245.539,237.684,245.539
225.513,243.328,236.079,243.328
222.008,239.548,233.078,239.548
222.275,239.835,233.798,239.835
225.128,242.914,236.887,242.914
210,226.59,220.294,226.59
187.471,202.281,195.976,202.281
169.62,183.021,176.692,183.021
159.346,171.934,165.556,171.934
153.612,165.747,159.305,165.747
147.553,159.209,152.925,159.209
147.818,159.495,153.054,159.495
146.885,158.49,152.325,158.49
154.797,167.026,160.733,167.026
175.267,189.113,182.773,189.113
183.203,197.677,190.57,197.677
182.899,197.349,190.177,197.349
189.316,204.273,197.125,204.273
196.473,211.994,204.688,211.994
200.223,216.041,208.925,216.041
205.161,221.369,214.346,221.369
209.747,226.317,219.444,226.317
213.672,230.552,223.868,230.552
219.652,237.004,230.478,237.004
225.448,243.259,236.908,243.259
225.067,242.847,237.171,242.847
217.484,234.666,229.586,234.666
208.747,225.239,220.319,225.239
209.908,226.491,221.349,226.491
195.396,210.832,205.302,210.832
171.74,185.307,179.517,185.307
152.144,164.164,158.198,164.164
140.854,151.982,145.9,151.982
133.975,144.559,138.484,144.559
129.41,139.633,133.629,139.633
126.443,136.432,130.596,136.432
129.162,139.367,133.506,139.367
137.779,148.663,142.853,148.663
155.3,167.569,161.943,167.569
165.115,178.159,171.476,178.159
167.851,181.111,173.957,181.111
175.226,189.07,181.43,189.07
181.995,196.372,188.446,196.372
189.934,204.939,196.932,204.939
195.154,210.572,202.765,210.572
202.506,218.504,210.708,218.504
207.842,224.262,216.503,224.262
210.663,227.305,219.654,227.305
214.121,231.037,223.684,231.037
216.65,233.765,226.66,233.765
208.677,225.163,220.105,225.163
201.174,217.067,211.797,217.067
201.335,217.24,212.125,217.24
185.612,200.275,194.997,200.275
164.991,178.026,172.416,178.026
146.682,158.27,152.561,158.27
135.281,145.968,140.132,145.968
129,139.192,133.344,139.192
124.105,133.909,128.159,133.909
123.958,133.75,127.893,133.75
124.447,134.278,128.685,134.278
132.612,143.088,137.46,143.088
149.718,161.547,156.127,161.547
161.783,174.564,168.007,174.564
162.708,175.563,168.591,175.563
170.751,184.241,176.911,184.241
180.49,194.749,186.859,194.749
183.677,198.187,190.474,198.187
190.041,205.055,197.349,205.055
195.029,210.437,202.865,210.437
202.607,218.613,210.879,218.613
203.228,219.283,211.936,219.283
203.408,219.478,212.753,219.478
203.463,219.537,213.159,219.537
195.412,210.85,205.202,210.85
192.332,207.526,202.26,207.526
196.293,211.801,206.624,211.801
183.432,197.924,192.58,197.924
163.446,176.358,170.757,176.358
145.996,157.531,151.747,157.531
135.946,146.687,140.818,146.687
127.283,137.338,131.595,137.338
122.551,132.233,126.596,132.233
121.429,131.023,125.391,131.023
123.702,133.474,127.841,133.474
132.828,143.321,137.578,143.321
151.937,163.941,158.351,163.941
160.408,173.08,166.687,173.08
162.94,175.812,169.057,175.812
169.628,183.03,175.944,183.03
177.728,191.769,184.212,191.769
184.476,199.05,191.324,199.05
195.816,211.286,203.234,211.286
184.765,199.362,192.59,199.362
193.601,208.895,201.896,208.895
196.872,212.425,205.66,212.425
198.218,213.878,207.503,213.878
195.331,210.762,204.784,210.762
187.744,202.577,197.142,202.577
184.104,198.648,193.195,198.648
182.04,196.421,191.274,196.421
169.925,183.35,178.112,183.35
153.309,165.42,160.24,165.42
138.163,149.079,143.975,149.079
124.963,134.835,129.793,134.835
117.278,126.544,121.573,126.544
115.159,124.256,119.143,124.256
111.519,120.329,115.354,120.329
110.127,118.827,113.935,118.827
113.276,122.225,117.24,122.225
115.661,124.798,120.12,124.798
122.836,132.541,128.157,132.541
136.095,146.847,142.433,146.847
147.105,158.726,154.017,158.726
153.591,165.724,160.716,165.724
161.603,174.37,169.05,174.37
169.42,182.805,177.029,182.805
175.361,189.215,183.482,189.215
180.61,194.878,189.444,194.878
185.763,200.439,195.379,200.439
189.876,204.876,199.833,204.876
189.969,204.976,200.198,204.976
182.399,196.809,192.44,196.809
174.758,188.565,184.24,188.565
172.489,186.116,182.126,186.116
162.847,175.713,171.5,175.713
147.542,159.199,154.861,159.199
131.038,141.39,137.169,141.39
118.88,128.272,123.92,128.272
111.097,119.873,115.532,119.873
106.567,114.987,110.633,114.987
104.876,113.161,108.793,113.161
102.429,110.521,106.274,110.521
103.235,111.39,107.074,111.39
104.545,112.805,108.74,112.805
112.706,121.61,117.787,121.61
126.47,136.461,132.937,136.461
141.742,152.94,149.195,152.94
149.445,161.252,157.516,161.252
157.086,169.496,165.794,169.496
161.419,174.171,170.434,174.171
166.099,179.222,175.279,179.222
169.016,182.369,178.227,182.369
169.358,182.738,178.744,182.738
169.215,182.583,178.739,182.583
166.354,179.497,175.815,179.497
160.464,173.14,169.887,173.14
160.133,172.783,169.606,172.783
159.431,172.027,168.595,172.027
150.104,161.962,158.306,161.962
138.458,149.397,145.557,149.397
125.551,135.47,131.574,135.47
113.042,121.973,118.18,121.973
107.544,116.04,112.107,116.04
102.632,110.741,106.819,110.741
100.158,108.07,104.25,108.07
98.485,106.266,102.501,106.266
100.97,108.947,105.156,108.947
102.587,110.691,107.274,110.691
106.322,114.721,111.606,114.721
119.492,128.932,125.842,128.932
130.529,140.842,137.913,140.842
136.491,147.275,144.431,147.275
139.836,150.883,147.823,150.883
135.655,146.371,143.293,146.371
134.173,144.772,141.569,144.772
130.619,140.939,137.896,140.939
130.931,141.275,138.278,141.275
132.288,142.739,139.965,142.739
137.794,148.679,145.889,148.679
137.967,148.866,146.38,148.866
144.67,156.099,153.258,156.099
151.451,163.415,160.012,163.415
140.134,151.204,147.631,151.204
126.739,136.751,132.887,136.751
114.67,123.729,119.674,123.729
107.316,115.794,111.696,115.794
106.968,115.418,111.048,115.418
104.355,112.599,108.338,112.599
106.043,114.421,110.041,114.421
109.542,118.197,113.822,118.197
120.211,129.708,125.161,129.708
144.754,156.189,151.391,156.189
161.312,174.056,167.99,174.056
161.383,174.132,167.519,174.132
166.517,179.673,172.55,179.673
168.391,181.694,174.496,181.694
172.275,185.886,178.46,185.886
175.975,189.877,182.316,189.877
179.276,193.439,185.532,193.439
182.903,197.353,189.328,197.353
184.522,199.1,191.384,199.1
188.796,203.712,196.703,203.712
193.827,209.139,202.642,209.139
191.86,207.018,201.301,207.018
195.589,211.041,205.778,211.041
198.914,214.629,208.95,214.629
187.634,202.457,196.462,202.457
170.493,183.963,177.804,183.963
152.454,164.499,158.569,164.499
140.682,151.796,145.938,151.796
137.402,148.258,142.288,148.258
133.721,144.286,138.366,144.286
133.743,144.31,138.385,144.31
137.021,147.845,141.944,147.845
145.88,157.404,151.515,157.404
169.051,182.406,176.217,182.406
177.703,191.741,184.755,191.741
178.073,192.142,184.97,192.142
182.427,196.84,189.235,196.84
182.595,197.021,189.415,197.021
183.931,198.462,190.798,198.462
192.885,208.123,199.82,208.123
197.908,213.543,204.959,213.543
182.155,196.545,189.184,196.545
183.117,197.583,190.623,197.583
183.839,198.363,191.801,198.363
188.491,203.383,197.628,203.383
192.278,207.468,202.339,207.468
197.199,212.778,207.366,212.778
195.712,211.173,205.689,211.173
183.828,198.35,192.81,198.35
168.887,182.229,176.585,182.229
155.772,168.079,162.263,168.079
143.968,155.342,149.709,155.342
138.731,149.692,144.083,149.692
134.675,145.314,139.786,145.314
135.62,146.335,140.73,146.335
137.731,148.613,143.077,148.613
148.326,160.044,154.502,160.044
167.162,180.369,174.841,180.369
176.19,190.11,183.938,190.11
178.865,192.995,186.13,192.995
182.108,196.495,189.637,196.495
191.581,206.716,199.724,206.716
191.413,206.536,199.955,206.536
188.694,203.602,197.33,203.602
185.257,199.893,193.606,199.893
183.461,197.954,191.614,197.954
180.201,194.438,188.486,194.438
182.18,196.573,190.773,196.573
180.459,194.715,189.26,194.715
178.686,192.803,187.733,192.803
181.397,195.727,190.738,195.727
184.489,199.063,194.072,199.063
177.07,191.059,185.471,191.059
160.154,172.806,166.986,172.806
143.199,154.511,148.554,154.511
132.769,143.257,137.267,143.257
124.519,134.357,128.542,134.357
121.36,130.947,125.19,130.947
119.213,128.631,123.076,128.631
121.712,131.328,125.886,131.328
132.031,142.462,136.844,142.462
152.641,164.699,158.89,164.699
159.173,171.748,165.339,171.748
163.31,176.211,169.142,176.211
166.433,179.582,172.368,179.582
174.97,188.793,181.24,188.793
182.586,197.011,189.207,197.011
181.666,196.018,188.787,196.018
185.295,199.934,192.877,199.934
187.71,202.539,195.645,202.539
188.704,203.611,197.075,203.611
190.66,205.723,199.572,205.723
191.122,206.222,200.272,206.222
182.938,197.391,192.081,197.391
180.198,194.435,189.162,194.435
178.848,192.977,188.014,192.977
167.044,180.241,175.152,180.241
153.443,165.566,160.476,165.566
136.713,147.514,142.547,147.514
124.532,134.37,129.323,134.37
116.073,125.242,120.345,125.242
114.104,123.118,118.085,123.118
109.361,118,113.208,118
109.21,117.837,112.974,117.837
112.536,121.426,116.492,121.426
118.777,128.161,123.22,128.161
126.997,137.031,132.278,137.031
137.501,148.364,143.757,148.364
147.508,159.161,154.242,159.161
149.447,161.253,156.202,161.253
154.844,167.076,161.781,167.076
160.01,172.652,167.351,172.652
165.955,179.065,173.896,179.065
170.299,183.754,178.834,183.754
171.808,185.381,180.767,185.381
173.994,187.74,183.255,187.74
175.235,189.078,184.703,189.078
169.29,182.665,178.539,182.665
167.334,180.553,176.38,180.553
167.603,180.844,176.779,180.844
157.87,170.343,166.02,170.343
141.605,152.793,148.586,152.793
131.177,141.541,137.109,141.541
120.12,129.609,125.177,129.609
113.443,122.405,117.995,122.405
106.856,115.298,111.178,115.298
104.396,112.644,108.521,112.644
104.996,113.29,109.051,113.29
106.82,115.258,110.952,115.258
110.628,119.368,115.09,119.368
118.404,127.758,123.875,127.758
134.286,144.895,140.981,144.895
145.829,157.35,153.35,157.35
153.228,165.334,160.984,165.334
156.672,169.05,164.635,169.05
166.161,179.288,174.28,179.288
170.062,183.498,178.708,183.498
171.366,184.904,180.501,184.904
175.846,189.738,185.198,189.738
180.728,195.006,190.632,195.006
181.89,196.259,191.837,196.259
176.332,190.262,186.338,190.262
178.136,192.21,188.423,192.21
180.185,194.42,190.648,194.42
165.109,178.152,174.04,178.152
149.625,161.446,156.881,161.446
135.645,146.362,141.445,146.362
126.107,136.07,130.923,136.07
117.995,127.317,122.433,127.317
117.301,126.567,121.479,126.567
114.557,123.607,118.824,123.607
118.654,128.027,123.231,128.027
130.452,140.757,135.577,140.757
150.357,162.236,156.846,162.236
157.362,169.793,163.795,169.793
161.722,174.498,167.699,174.498
166.748,179.922,172.867,179.922
174.692,188.494,181.345,188.494
181.555,195.898,188.798,195.898
188.191,203.059,196.101,203.059
195.837,211.308,204.159,211.308
200.228,216.046,209.062,216.046
203.358,219.423,212.638,219.423
203.704,219.797,213.267,219.797
202.537,218.538,212.541,218.538
197.062,212.631,207.253,212.631
198.045,213.69,208.608,213.69
194.775,210.162,205.403,210.162
179.874,194.085,188.901,194.085
159.985,172.624,167.129,172.624
142.605,153.872,148.247,153.872
134.452,145.073,139.17,145.073
125.692,135.622,129.997,135.622
122.581,132.266,126.612,132.266
120.74,130.278,124.74,130.278
122.432,132.105,126.833,132.105
132.88,143.378,137.86,143.378
151.937,163.94,158.344,163.94
163.328,176.231,169.699,176.231
157.904,170.379,163.629,170.379
162.945,175.818,168.62,175.818
168.538,181.852,174.208,181.852
170.557,184.032,176.23,184.032
166.41,179.556,172.31,179.556
174.402,188.18,180.294,188.18
169.3,182.676,175.348,182.676
170.875,184.375,177.169,184.375
172.079,185.673,179.01,185.673
173.022,186.691,180.595,186.691
176.714,190.675,184.773,190.675
178.886,193.018,187.488,193.018
179.455,193.633,188.54,193.633
171.714,185.28,179.695,185.28
158.965,171.523,165.381,171.523
143.381,154.709,148.502,154.709
133.531,144.081,137.897,144.081
126.551,136.549,130.654,136.549
121.755,131.374,125.683,131.374
122.32,131.984,126.308,131.984
125.638,135.563,130.052,135.563
137.652,148.526,142.67,148.526
152.987,165.073,159.433,165.073
161.048,173.771,167.578,173.771
159.149,171.722,165.139,171.722
161.233,173.97,167.103,173.97
161.4,174.15,167.213,174.15
162.266,175.086,168.165,175.086
163.195,176.087,169.066,176.087
161.214,173.951,167.056,173.951
163.062,175.945,168.764,175.945
162.538,175.378,168.302,175.378
164.524,177.522,170.96,177.522
168.673,181.999,175.838,181.999
168.468,181.777,176.203,181.777
173.799,187.529,181.932,187.529
169.9,183.322,178.14,183.322
157.016,169.42,164.431,169.42
149.176,160.961,155.344,160.961
131.69,142.093,136.637,142.093
127.833,137.932,132.136,137.932
121.59,131.196,125.494,131.196
120.221,129.719,124.012,129.719
119.37,128.8,123.274,128.8
122.385,132.054,126.742,132.054
130.688,141.012,135.644,141.012
151.766,163.756,158.25,163.756
165.179,178.228,171.594,178.228
162.037,174.838,167.943,174.838
164.32,177.302,170.134,177.302
168.502,181.814,174.282,181.814
172.993,186.66,178.822,186.66
179.703,193.899,185.588,193.899
183.677,198.187,189.877,198.187
186.163,200.871,192.581,200.871
187.371,202.173,194.109,202.173
184.879,199.485,192.124,199.485
182.451,196.865,190.301,196.865
182.678,197.109,191.123,197.109
187.82,202.658,197.051,202.658
189.177,204.122,198.26,204.122
176.264,190.19,184.36,190.19
159.618,172.229,166.304,172.229
144.239,155.634,149.677,155.634
132.771,143.261,137.444,143.261
128.527,138.681,132.906,138.681
127.161,137.207,131.321,137.207
125.022,134.899,129.273,134.899
128.308,138.444,132.836,138.444
136.446,147.225,141.632,147.225
155.603,167.895,162.257,167.895
168.602,181.922,175.507,181.922
168.768,182.1,175.406,182.1
172.335,185.949,178.921,185.949
173.914,187.653,180.574,187.653
176.471,190.413,183.133,190.413
175.896,189.793,182.719,189.793
179.056,193.202,185.895,193.202
180.706,194.983,187.841,194.983
178.709,192.827,186.138,192.827
179.391,193.563,186.307,193.563
174.519,188.306,182.781,188.306
168.172,181.457,176.607,181.457
173.187,186.869,181.506,186.869
168.469,181.779,176.582,181.779
162.745,175.603,170.299,175.603
151.579,163.554,158.356,163.554
137.797,148.684,143.606,148.684
126.569,136.569,131.757,136.569
119.692,129.147,124.401,129.147
114.335,123.368,118.799,123.368
109.414,118.057,113.575,118.057
109.336,117.973,113.361,117.973
110.813,119.568,114.828,119.568
115.701,124.842,120.032,124.842
122.402,132.073,127.676,132.073
132.091,142.527,138.609,142.527
140.553,151.658,147.625,151.658
142.507,153.766,149.36,153.766
142.103,153.33,148.925,153.33
140.429,151.523,147.326,151.523
139.373,150.383,146.101,150.383
136.803,147.61,143.638,147.61
138.594,149.544,145.458,149.544
141.864,153.072,148.835,153.072
142.457,153.712,149.439,153.712
139.127,150.118,146.136,150.118
141.914,153.126,149.126,153.126
143.162,154.473,150.544,154.473
134.878,145.534,141.566,145.534
125.577,135.497,131.248,135.497
112.578,121.471,117.49,121.471
101.861,109.909,106.024,109.909
97.925,105.661,101.68,105.661
94.735,102.22,98.244,102.22
92.005,99.274,95.42,99.274
93.239,100.606,96.61,100.606
94.782,102.27,98.266,102.27
99.228,107.068,103.084,107.068
109.72,118.388,114.716,118.388
122.767,132.466,128.933,132.466
130.914,141.257,137.753,141.257
134.41,145.029,140.998,145.029
131.305,141.679,137.653,141.679
128.917,139.101,135.215,139.101
128.756,138.929,134.85,138.929
130.991,141.34,137.019,141.34
131.664,142.065,137.846,142.065
134.233,144.838,140.722,144.838
135.116,145.79,141.863,145.79
138.017,148.921,145.144,148.921
144.417,155.826,152.264,155.826
147.28,158.916,155.192,158.916
138.261,149.184,145.163,149.184
124.714,134.567,130.123,134.567
114.635,123.691,118.964,123.691
105.199,113.51,108.921,113.51
103.332,111.496,106.794,111.496
102.095,110.161,105.464,110.161
103.786,111.986,107.292,111.986
107.955,116.483,111.88,116.483
119.505,128.947,124.178,128.947
139.399,150.411,145.721,150.411
151.458,163.424,157.686,163.424
149.945,161.791,155.536,161.791
149.03,160.804,154.445,160.804
152.739,164.805,157.953,164.805
152.813,164.885,157.928,164.885
151.937,163.94,157.092,163.94
154.642,166.859,159.739,166.859
151.157,163.099,156.227,163.099
152.066,164.079,157.225,164.079
152.068,164.081,157.782,164.081
156.289,168.636,162.532,168.636
156.55,168.917,163.402,168.917
164.544,177.543,172.151,177.543
165.841,178.942,173.533,178.942
151.907,163.907,158.459,163.907
138.106,149.017,143.412,149.017
124.172,133.981,128.463,133.981
114.615,123.669,118.324,123.669
110.887,119.648,114.387,119.648
110.32,119.036,113.714,119.036
110.686,119.43,114.23,119.43
114.859,123.934,118.828,123.934
127.745,137.838,132.477,137.838
146.959,158.569,153.303,158.569
157.115,169.528,163.351,169.528
152.353,164.389,157.875,164.389
155.537,167.825,160.903,167.825
167.468,180.698,172.621,180.698
155.898,168.215,160.935,168.215
160.689,173.383,165.779,173.383
157.67,170.126,162.815,170.126
155.851,168.163,161.173,168.163
158.287,170.791,163.911,170.791
165.206,178.257,171.51,178.257
167.506,180.739,174.346,180.739
165.928,179.036,173.251,179.036
174.465,188.249,182.6,188.249
171.03,184.542,179.225,184.542
159.036,171.6,166.218,171.6
143.199,154.513,148.907,154.513
125.366,135.271,129.88,135.271
120.518,130.04,124.354,130.04
116.742,125.965,120.268,125.965
113.438,122.399,116.877,122.399
113.904,122.903,117.438,122.903
115.598,124.73,119.538,124.73
126.065,136.025,130.767,136.025
146.805,158.403,153.063,158.403
154.656,166.874,160.858,166.874
152.989,165.076,158.543,165.076
154.283,166.471,159.65,166.471
160.047,172.691,165.306,172.691
163.346,176.251,168.833,176.251
167.802,181.059,173.622,181.059
172.894,186.554,179.053,186.554
174.789,188.597,181.333,188.597
179.108,193.258,186.07,193.258
182.335,196.739,190.137,196.739
183.915,198.445,192.145,198.445
180.34,194.588,188.875,194.588
182.82,197.264,191.738,197.264
178.874,193.005,187.728,193.005
166.129,179.254,173.94,179.254
149.598,161.416,155.764,161.416
131.893,142.313,136.705,142.313
123.375,133.122,127.38,133.122
116.496,125.7,120.191,125.7
113.933,122.933,117.49,122.933
112.844,121.759,116.478,121.759
114.351,123.386,118.371,123.386
127.391,137.455,132.127,137.455
145.562,157.062,151.739,157.062
153.125,165.223,159.244,165.223
150.502,162.393,156.028,162.393
156.146,168.481,161.559,168.481
162.339,175.165,167.732,175.165
166.527,179.684,172.15,179.684
170.285,183.737,176.394,183.737
176.908,190.885,183.416,190.885
180.907,195.198,187.835,195.198
185.168,199.796,192.806,199.796
188.407,203.291,196.94,203.291
189.901,204.904,198.858,204.904
185.147,199.773,194.178,199.773
190.755,205.826,200.465,205.826
184.137,198.684,193.711,198.684
167.16,180.366,175.463,180.366
152.196,164.22,158.939,164.22
134.794,145.442,140.136,145.442
126.069,136.028,130.597,136.028
120.425,129.938,124.521,129.938
116.935,126.174,120.786,126.174
114.228,123.253,118.109,123.253
117.935,127.252,122.126,127.252
126.786,136.803,131.656,136.803
148.455,160.184,154.647,160.184
159.772,172.395,166.124,172.395
157.744,170.207,163.624,170.207
158.743,171.283,164.561,171.283
164.558,177.559,170.261,177.559
167.794,181.051,173.805,181.051
173.822,187.555,180.111,187.555
178.175,192.251,184.566,192.251
180.714,194.99,187.552,194.99
182.184,196.577,189.535,196.577
182.705,197.14,190.697,197.14
180.085,194.313,188.194,194.313
174.185,187.946,182.222,187.946
174.457,188.24,182.748,188.24
171.422,184.965,179.47,184.965
157.374,169.806,164.507,169.806
144.763,156.2,150.948,156.2
126.867,136.89,131.951,136.89
116.687,125.905,120.953,125.905
110.696,119.442,114.554,119.442
106.637,115.061,110.24,115.061
103.956,112.168,107.455,112.168
104.737,113.012,108.242,113.012
108.056,116.592,111.823,116.592
115.844,124.996,120.153,124.996
123.467,133.222,128.712,133.222
133.18,143.701,139.374,143.701
140.799,151.923,147.258,151.923
144.46,155.873,150.84,155.873
149.623,161.444,156.057,161.444
152.606,164.662,159.262,164.662
155.708,168.009,162.635,168.009
156.669,169.046,163.92,169.046
162.059,174.861,169.732,174.861
163.359,176.264,171.249,176.264
163.123,176.01,171.239,176.01
159.249,171.829,167.164,171.829
161.847,174.634,170.115,174.634
156.246,168.59,164.235,168.59
145.342,156.824,152.439,156.824
133.521,144.069,139.591,144.069
121.255,130.835,126.426,130.835
110.798,119.551,115.156,119.551
104.796,113.075,108.71,113.075
102.608,110.715,106.264,110.715
100.276,108.198,103.842,108.198
100.229,108.148,103.721,108.148
100.67,108.624,104.239,108.624
106.274,114.67,110.201,114.67
115.888,125.044,120.887,125.044
130.258,140.549,136.536,140.549
137.6,148.471,144.527,148.471
142.008,153.226,148.865,153.226
145.538,157.035,152.14,157.035
145.95,157.481,152.676,157.481
146.616,158.199,153.488,158.199
146.463,158.033,153.5,158.033
146.441,158.011,153.658,158.011
148.347,160.067,155.6,160.067
151.385,163.344,159,163.344
153.208,165.311,161.168,165.311
161.327,174.072,170.038,174.072
160.804,173.508,169.432,173.508
148.477,160.208,155.923,160.208
136.275,147.042,142.314,147.042
123.391,133.14,128.192,133.14
116.778,126.004,120.851,126.004
112.061,120.915,115.887,120.915
109.036,117.651,112.687,117.651
110.252,118.963,114.036,118.963
113.955,122.958,118.055,122.958
125.747,135.681,130.543,135.681
146.138,157.684,152.278,157.684
156.16,168.497,162.318,168.497
157.773,170.238,163.459,170.238
161.354,174.102,167.065,174.102
163.743,176.678,169.392,176.678
165.445,178.515,170.902,178.515
166.945,180.135,172.488,180.135
166.484,179.637,171.968,179.637
163.424,176.334,169.032,176.334
162.628,175.476,168.317,175.476
163.227,176.123,169.548,176.123
166.053,179.171,173.071,179.171
168.122,181.404,175.868,181.404
176.154,190.07,184.542,190.07
172.095,185.691,180.106,185.691
159.574,172.18,166.483,172.18
143.944,155.315,149.695,155.315
135.586,146.297,140.364,146.297
124.037,133.837,128.175,133.837
118.56,127.926,122.367,127.926
116.404,125.6,120.042,125.6
117.896,127.211,121.598,127.211
118.798,128.183,122.916,128.183
131.237,141.606,135.947,141.606
155.06,167.311,161.219,167.311
163.034,175.913,169.381,175.913
164.705,177.716,170.671,177.716
166.173,179.3,172.187,179.3
165.284,178.341,171.261,178.341
167.299,180.515,173.261,180.515
168.202,181.491,174.288,181.491
164.762,177.778,170.825,177.778
163.964,176.917,169.987,176.917
163.882,176.829,170.188,176.829
164.041,177,170.799,177
168.664,181.989,176.177,181.989
170.049,183.483,178.023,183.483
173.065,186.737,181.694,186.737
169.801,183.215,177.977,183.215
159.201,171.779,166.21,171.779
143.938,155.31,149.566,155.31
130.831,141.167,135.422,141.167
123.256,132.993,127.217,132.993
118.437,127.794,122.066,127.794
116.627,125.841,120.15,125.841
115.988,125.151,119.593,125.151
117.665,126.96,121.703,126.96
129.473,139.702,134.217,139.702
148.536,160.27,154.795,160.27
161.65,174.421,167.876,174.421
160.224,172.882,165.866,172.882
160.72,173.418,166.414,173.418
160.202,172.858,165.947,172.858
162.244,175.062,168.032,175.062
164.128,177.095,170.042,177.095
162.211,175.027,168.283,175.027
164.114,177.079,170.244,177.079
166.086,179.207,172.558,179.207
164.61,177.615,171.721,177.615
166.991,180.183,174.321,180.183
169.099,182.458,176.768,182.458
176.616,190.569,185.253,190.569
171.753,185.321,180.286,185.321
162.77,175.63,170.215,175.63
144.504,155.921,150.471,155.921
131.972,142.399,136.868,142.399
124.548,134.388,128.656,134.388
118.68,128.055,122.415,128.055
117.792,127.097,121.406,127.097
115.595,124.727,119.384,124.727
119.379,128.81,123.545,128.81
129.747,139.998,134.622,139.998
148.036,159.732,154.374,159.732
156.222,168.564,162.557,168.564
153.913,166.073,159.49,166.073
157.598,170.049,163.095,170.049
163.677,176.608,169.201,176.608
163.02,175.898,168.663,175.898
164.044,177.003,169.783,177.003
166.399,179.544,172.095,179.544
166.287,179.425,172.077,179.425
168.009,181.282,174.122,181.282
166.071,179.191,172.568,179.191
166.274,179.41,173.176,179.41
166.978,180.17,174.321,180.17
175.997,189.902,184.142,189.902
173.167,186.847,181.276,186.847
160.697,173.393,167.769,173.393
143.576,154.918,149.409,154.918
129.818,140.074,134.538,140.074
121.017,130.577,124.923,130.577
113.559,122.53,117.17,122.53
